index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,light_level,plug_level,vent_level,mean_zone_temp,max_abs_pmv,peak_co2,step_kwh_hvac,step_kwh_lights,step_kwh_plugs,cumulative_kwh_hvac,cumulative_kwh_lights,cumulative_kwh_plugs,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
1,2026-07-20T00:15:00,28.35,0.0,0.11875,0.1188,0.09,210.0,0.01069,0.0107,0.02494,0.0249,0,,,0,,,,22.838,1.049,420.0,0.0,0.09375,0.025,0.0,0.0938,0.025,23.017,22.917,22.944,23.089,22.222,-0.782,-0.815,-0.806,-0.759,-1.049,420.0,420.0,420.0,420.0,420.0,init,
2,2026-07-20T00:30:00,27.8,0.0,0.11875,0.2375,0.09,210.0,0.01069,0.0214,0.02494,0.0499,0,18.0,26.0,0,1.0,1.0,1.0,22.782,1.063,420.0,0.0,0.09375,0.025,0.0,0.1875,0.05,22.96,22.864,22.889,23.014,22.182,-0.801,-0.832,-0.824,-0.783,-1.063,420.0,420.0,420.0,420.0,420.0,baseline,
3,2026-07-20T00:45:00,27.25,0.0,0.11875,0.3563,0.09,210.0,0.01069,0.0321,0.02494,0.0748,0,18.0,26.0,0,1.0,1.0,1.0,22.719,1.076,420.0,0.0,0.09375,0.025,0.0,0.2813,0.075,22.893,22.803,22.822,22.933,22.144,-0.823,-0.852,-0.846,-0.809,-1.076,420.0,420.0,420.0,420.0,420.0,baseline,
4,2026-07-20T00:00:00,26.7,0.0,0.11875,0.475,0.09,210.0,0.01069,0.0428,0.02494,0.0998,0,18.0,26.0,0,1.0,1.0,1.0,22.653,1.088,420.0,0.0,0.09375,0.025,0.0,0.375,0.1,22.819,22.738,22.75,22.851,22.108,-0.847,-0.873,-0.869,-0.836,-1.088,420.0,420.0,420.0,420.0,420.0,baseline,
5,2026-07-20T01:15:00,26.7,0.0,0.11875,0.5938,0.09,210.0,0.01069,0.0534,0.02494,0.1247,0,18.0,26.0,0,1.0,1.0,1.0,22.586,1.1,420.0,0.0,0.09375,0.025,0.0,0.4688,0.125,22.742,22.67,22.674,22.769,22.074,-0.871,-0.895,-0.894,-0.863,-1.1,420.0,420.0,420.0,420.0,420.0,baseline,
6,2026-07-20T01:30:00,26.7,0.0,0.11875,0.7125,0.09,210.0,0.01069,0.0641,0.02494,0.1496,0,18.0,26.0,0,1.0,1.0,1.0,22.528,1.112,420.0,0.0,0.09375,0.025,0.0,0.5625,0.15,22.679,22.612,22.611,22.698,22.04,-0.892,-0.914,-0.915,-0.886,-1.112,420.0,420.0,420.0,420.0,420.0,baseline,
7,2026-07-20T01:45:00,26.7,0.0,0.11875,0.8313,0.09,210.0,0.01069,0.0748,0.02494,0.1746,0,18.0,26.0,0,1.0,1.0,1.0,22.479,1.123,420.0,0.0,0.09375,0.025,0.0,0.6563,0.175,22.628,22.563,22.56,22.637,22.007,-0.909,-0.931,-0.932,-0.906,-1.123,420.0,420.0,420.0,420.0,420.0,baseline,
8,2026-07-20T01:00:00,26.7,0.0,0.11875,0.95,0.09,210.0,0.01069,0.0855,0.02494,0.1995,0,18.0,26.0,0,1.0,1.0,1.0,22.435,1.134,420.0,0.0,0.09375,0.025,0.0,0.75,0.2,22.584,22.518,22.515,22.582,21.976,-0.924,-0.947,-0.948,-0.925,-1.134,420.0,420.0,420.0,420.0,420.0,baseline,
9,2026-07-20T02:15:00,26.7,0.0,0.11875,1.0688,0.09,210.0,0.01069,0.0962,0.02494,0.2244,0,18.0,26.0,0,1.0,1.0,1.0,22.393,1.145,420.0,0.0,0.09375,0.025,0.0,0.8438,0.225,22.542,22.475,22.472,22.531,21.945,-0.939,-0.962,-0.963,-0.942,-1.145,420.0,420.0,420.0,420.0,420.0,baseline,
10,2026-07-20T02:30:00,26.7,0.0,0.11875,1.1875,0.09,210.0,0.01069,0.1069,0.02494,0.2494,0,18.0,26.0,0,1.0,1.0,1.0,22.355,1.155,420.0,0.0,0.09375,0.025,0.0,0.9375,0.25,22.504,22.435,22.434,22.484,21.915,-0.952,-0.975,-0.976,-0.959,-1.155,420.0,420.0,420.0,420.0,420.0,baseline,
11,2026-07-20T02:45:00,26.7,0.0,0.11875,1.3062,0.09,210.0,0.01069,0.1176,0.02494,0.2743,0,18.0,26.0,0,1.0,1.0,1.0,22.32,1.164,420.0,0.0,0.09375,0.025,0.0,1.0313,0.275,22.47,22.399,22.4,22.442,21.887,-0.963,-0.988,-0.988,-0.973,-1.164,420.0,420.0,420.0,420.0,420.0,baseline,
12,2026-07-20T02:00:00,26.7,0.0,0.11875,1.425,0.09,210.0,0.01069,0.1283,0.02494,0.2993,0,18.0,26.0,0,1.0,1.0,1.0,22.288,1.174,420.0,0.0,0.09375,0.025,0.0,1.125,0.3,22.439,22.367,22.369,22.404,21.86,-0.974,-0.999,-0.998,-0.986,-1.174,420.0,420.0,420.0,420.0,420.0,baseline,
13,2026-07-20T03:15:00,26.975,0.0,0.11875,1.5437,0.09,210.0,0.01069,0.1389,0.02494,0.3242,0,18.0,26.0,0,1.0,1.0,1.0,22.258,1.183,420.0,0.0,0.09375,0.025,0.0,1.2188,0.325,22.41,22.337,22.341,22.369,21.835,-0.984,-1.009,-1.008,-0.998,-1.183,420.0,420.0,420.0,420.0,420.0,baseline,
14,2026-07-20T03:30:00,27.25,0.0,0.11875,1.6625,0.09,210.0,0.01069,0.1496,0.02494,0.3491,0,18.0,26.0,0,1.0,1.0,1.0,22.236,1.191,420.0,0.0,0.09375,0.025,0.0,1.3125,0.35,22.391,22.315,22.322,22.343,21.811,-0.991,-1.017,-1.014,-1.007,-1.191,420.0,420.0,420.0,420.0,420.0,baseline,
15,2026-07-20T03:45:00,27.525,0.0,0.11875,1.7812,0.09,210.0,0.01069,0.1603,0.02494,0.3741,0,18.0,26.0,0,1.0,1.0,1.0,22.221,1.199,420.0,0.0,0.09375,0.025,0.0,1.4063,0.375,22.382,22.3,22.313,22.324,21.788,-0.994,-1.022,-1.018,-1.014,-1.199,420.0,420.0,420.0,420.0,420.0,baseline,
16,2026-07-20T03:00:00,27.8,0.0,0.11875,1.9,0.09,210.0,0.01069,0.171,0.02494,0.399,0,18.0,26.0,0,1.0,1.0,1.0,22.211,1.206,420.0,0.0,0.09375,0.025,0.0,1.5,0.4,22.379,22.29,22.309,22.311,21.766,-0.995,-1.025,-1.019,-1.018,-1.206,420.0,420.0,420.0,420.0,420.0,baseline,
17,2026-07-20T04:15:00,27.65,0.0,0.11875,2.0187,0.09,210.0,0.01069,0.1817,0.02494,0.4239,0,18.0,26.0,0,1.0,1.0,1.0,22.205,1.213,420.0,0.0,0.09375,0.025,0.0,1.5938,0.425,22.38,22.285,22.309,22.303,21.747,-0.994,-1.027,-1.019,-1.021,-1.213,420.0,420.0,420.0,420.0,420.0,baseline,
18,2026-07-20T04:30:00,27.5,0.0,0.11875,2.1375,0.09,210.0,0.01069,0.1924,0.02494,0.4489,0,18.0,26.0,0,1.0,1.0,1.0,22.194,1.219,420.0,0.0,0.09375,0.025,0.0,1.6875,0.45,22.374,22.275,22.303,22.291,21.729,-0.997,-1.031,-1.021,-1.025,-1.219,420.0,420.0,420.0,420.0,420.0,baseline,
19,2026-07-20T04:45:00,27.35,0.0,0.11875,2.2562,0.09,210.0,0.01069,0.2031,0.02494,0.4738,0,18.0,26.0,0,1.0,1.0,1.0,22.18,1.225,420.0,0.0,0.09375,0.025,0.0,1.7813,0.475,22.36,22.261,22.29,22.275,21.713,-1.001,-1.036,-1.025,-1.031,-1.225,420.0,420.0,420.0,420.0,420.0,baseline,
20,2026-07-20T04:00:00,27.2,0.0,0.11875,2.375,0.09,210.0,0.01069,0.2137,0.02494,0.4988,0,18.0,26.0,0,1.0,1.0,1.0,22.164,1.23,420.0,0.0,0.09375,0.025,0.0,1.875,0.5,22.343,22.246,22.275,22.258,21.698,-1.007,-1.041,-1.031,-1.037,-1.23,420.0,420.0,420.0,420.0,420.0,baseline,
