index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,mean_zone_temp,max_abs_pmv,peak_co2,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
1,2026-07-20T00:15:00,28.35,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,,,0,22.838,1.049,420.0,23.017,22.917,22.944,23.089,22.222,-0.782,-0.815,-0.806,-0.759,-1.049,420.0,420.0,420.0,420.0,420.0,init,
2,2026-07-20T00:30:00,27.8,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.782,1.063,420.0,22.96,22.864,22.889,23.014,22.182,-0.801,-0.832,-0.824,-0.783,-1.063,420.0,420.0,420.0,420.0,420.0,baseline,
3,2026-07-20T00:45:00,27.25,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.719,1.076,420.0,22.893,22.803,22.822,22.933,22.144,-0.823,-0.852,-0.846,-0.809,-1.076,420.0,420.0,420.0,420.0,420.0,baseline,
4,2026-07-20T00:00:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.653,1.088,420.0,22.819,22.738,22.75,22.851,22.108,-0.847,-0.873,-0.869,-0.836,-1.088,420.0,420.0,420.0,420.0,420.0,baseline,
5,2026-07-20T01:15:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.586,1.1,420.0,22.742,22.67,22.674,22.769,22.074,-0.871,-0.895,-0.894,-0.863,-1.1,420.0,420.0,420.0,420.0,420.0,baseline,
6,2026-07-20T01:30:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.528,1.112,420.0,22.679,22.612,22.611,22.698,22.04,-0.892,-0.914,-0.915,-0.886,-1.112,420.0,420.0,420.0,420.0,420.0,baseline,
7,2026-07-20T01:45:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.479,1.123,420.0,22.628,22.563,22.56,22.637,22.007,-0.909,-0.931,-0.932,-0.906,-1.123,420.0,420.0,420.0,420.0,420.0,baseline,
8,2026-07-20T01:00:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.435,1.134,420.0,22.584,22.518,22.515,22.582,21.976,-0.924,-0.947,-0.948,-0.925,-1.134,420.0,420.0,420.0,420.0,420.0,baseline,
9,2026-07-20T02:15:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.393,1.145,420.0,22.542,22.475,22.472,22.531,21.945,-0.939,-0.962,-0.963,-0.942,-1.145,420.0,420.0,420.0,420.0,420.0,baseline,
10,2026-07-20T02:30:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.355,1.155,420.0,22.504,22.435,22.434,22.484,21.915,-0.952,-0.975,-0.976,-0.959,-1.155,420.0,420.0,420.0,420.0,420.0,baseline,
11,2026-07-20T02:45:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.32,1.164,420.0,22.47,22.399,22.4,22.442,21.887,-0.963,-0.988,-0.988,-0.973,-1.164,420.0,420.0,420.0,420.0,420.0,baseline,
12,2026-07-20T02:00:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.288,1.174,420.0,22.439,22.367,22.369,22.404,21.86,-0.974,-0.999,-0.998,-0.986,-1.174,420.0,420.0,420.0,420.0,420.0,baseline,
13,2026-07-20T03:15:00,26.975,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.258,1.183,420.0,22.41,22.337,22.341,22.369,21.835,-0.984,-1.009,-1.008,-0.998,-1.183,420.0,420.0,420.0,420.0,420.0,baseline,
14,2026-07-20T03:30:00,27.25,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.236,1.191,420.0,22.391,22.315,22.322,22.343,21.811,-0.991,-1.017,-1.014,-1.007,-1.191,420.0,420.0,420.0,420.0,420.0,baseline,
15,2026-07-20T03:45:00,27.525,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.221,1.199,420.0,22.382,22.3,22.313,22.324,21.788,-0.994,-1.022,-1.018,-1.014,-1.199,420.0,420.0,420.0,420.0,420.0,baseline,
16,2026-07-20T03:00:00,27.8,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.211,1.206,420.0,22.379,22.29,22.309,22.311,21.766,-0.995,-1.025,-1.019,-1.018,-1.206,420.0,420.0,420.0,420.0,420.0,baseline,
17,2026-07-20T04:15:00,27.65,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.205,1.213,420.0,22.38,22.285,22.309,22.303,21.747,-0.994,-1.027,-1.019,-1.021,-1.213,420.0,420.0,420.0,420.0,420.0,baseline,
18,2026-07-20T04:30:00,27.5,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.194,1.219,420.0,22.374,22.275,22.303,22.291,21.729,-0.997,-1.031,-1.021,-1.025,-1.219,420.0,420.0,420.0,420.0,420.0,baseline,
19,2026-07-20T04:45:00,27.35,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.18,1.225,420.0,22.36,22.261,22.29,22.275,21.713,-1.001,-1.036,-1.025,-1.031,-1.225,420.0,420.0,420.0,420.0,420.0,baseline,
20,2026-07-20T04:00:00,27.2,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.164,1.23,420.0,22.343,22.246,22.275,22.258,21.698,-1.007,-1.041,-1.031,-1.037,-1.23,420.0,420.0,420.0,420.0,420.0,baseline,
21,2026-07-20T05:15:00,27.075,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.147,1.235,420.0,22.324,22.23,22.259,22.241,21.684,-1.014,-1.046,-1.036,-1.043,-1.235,420.0,420.0,420.0,420.0,420.0,baseline,
22,2026-07-20T05:30:00,26.95,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.13,1.239,420.0,22.304,22.212,22.24,22.221,21.67,-1.021,-1.052,-1.043,-1.049,-1.239,420.0,420.0,420.0,420.0,420.0,baseline,
23,2026-07-20T05:45:00,26.825,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.11,1.244,420.0,22.282,22.193,22.218,22.2,21.658,-1.028,-1.059,-1.05,-1.056,-1.244,420.0,420.0,420.0,420.0,420.0,baseline,
24,2026-07-20T05:00:00,26.7,0.0,0.0,0.0,0.09,210.0,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.09,1.248,420.0,22.259,22.171,22.195,22.178,21.645,-1.036,-1.067,-1.058,-1.064,-1.248,420.0,420.0,420.0,420.0,420.0,baseline,
25,2026-07-20T06:15:00,27.25,0.0,0.0,0.0,0.09,206.7,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.167,1.251,420.0,22.255,22.338,22.427,22.181,21.635,-1.038,-1.009,-0.978,-1.063,-1.251,420.0,420.0,420.0,420.0,420.0,baseline,
26,2026-07-20T06:38:00,27.8,0.089,0.0,0.0,0.09,201.6,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.325,1.252,451.1,22.286,22.653,22.832,22.221,21.633,-1.027,-0.901,-0.842,-1.05,-1.252,451.1,451.1,451.1,451.1,451.1,baseline,
27,2026-07-20T06:53:00,28.35,0.256,0.0,0.0,0.09,198.3,0.0,0.0,0.0,0.0,4,18.0,26.0,0,22.541,1.249,509.4,22.353,23.07,23.343,22.295,21.643,-1.004,-0.765,-0.676,-1.024,-1.249,509.4,509.4,509.4,509.4,509.4,baseline,
28,2026-07-20T06:08:00,28.9,0.0,0.0,0.0,0.09,208.2,0.0,0.0,0.0,0.0,0,18.0,26.0,0,22.775,1.241,420.0,22.444,23.525,23.845,22.393,21.666,-0.973,-0.617,-0.512,-0.99,-1.241,420.0,420.0,420.0,420.0,420.0,baseline,
29,2026-07-20T07:23:00,29.175,0.589,0.0,0.0,0.16,192.0,0.0,0.0,0.0,0.0,3,18.0,26.0,0,23.044,1.228,626.1,22.557,24.056,24.391,22.514,21.703,-0.934,-0.443,-0.333,-0.948,-1.228,626.1,626.1,626.1,626.1,626.1,baseline,
30,2026-07-20T07:38:00,29.45,0.756,0.0,0.0,0.16,188.9,0.0,0.0,0.0,0.0,3,18.0,26.0,0,23.333,1.211,684.4,22.68,24.638,24.947,22.649,21.752,-0.892,-0.252,-0.15,-0.902,-1.211,684.4,684.4,684.4,684.4,684.4,baseline,
31,2026-07-20T07:50:00,29.725,0.889,0.0,0.0,0.16,186.4,0.0,0.0,0.0,0.0,3,18.0,26.0,0,23.616,1.193,731.1,22.805,25.224,25.457,22.789,21.805,-0.851,-0.059,0.018,-0.856,-1.193,731.1,731.1,731.1,731.1,731.1,baseline,
32,2026-07-20T07:05:00,30.0,0.389,0.20828,0.2083,0.16,195.8,0.03333,0.0333,0.04077,0.0408,3,18.0,26.0,0,23.923,1.166,556.1,22.963,25.861,25.947,22.964,21.883,-0.8,0.152,0.181,-0.799,-1.166,556.1,556.1,556.1,556.1,556.1,baseline,
33,2026-07-20T08:15:00,30.425,1.0,0.26215,0.4704,0.16,181.5,0.04194,0.0753,0.04759,0.0884,3,18.0,26.0,0,24.047,1.138,770.0,23.125,26.0,26.0,23.144,21.965,-0.747,0.198,0.198,-0.741,-1.138,770.0,770.0,770.0,770.0,770.0,baseline,
34,2026-07-20T08:32:00,30.85,1.0,0.61127,1.0817,0.16,178.4,0.0978,0.1731,0.10905,0.1974,1,21.5,23.5,0,23.459,0.731,770.0,23.493,23.567,23.563,23.498,23.173,-0.627,-0.603,-0.604,-0.626,-0.731,770.0,770.0,770.0,770.0,770.0,baseline,
35,2026-07-20T08:53:00,31.275,1.0,0.95675,2.0385,0.16,174.7,0.15308,0.3262,0.16715,0.3646,0,21.5,23.5,0,23.5,0.627,770.0,23.5,23.505,23.504,23.5,23.493,-0.625,-0.623,-0.623,-0.625,-0.627,770.0,770.0,770.0,770.0,770.0,baseline,
36,2026-07-20T08:00:00,31.7,1.0,1.44466,3.4831,0.16,184.4,0.23115,0.5573,0.26645,0.631,0,21.5,23.5,0,23.5,0.625,770.0,23.5,23.5,23.5,23.5,23.5,-0.625,-0.625,-0.625,-0.625,-0.625,770.0,770.0,770.0,770.0,770.0,baseline,
37,2026-07-20T09:15:00,31.825,1.0,1.45421,4.9373,0.16,171.1,0.23267,0.79,0.24883,0.8798,0,21.5,23.5,0,23.5,0.625,770.0,23.5,23.5,23.5,23.5,23.5,-0.625,-0.625,-0.625,-0.625,-0.625,770.0,770.0,770.0,770.0,770.0,baseline,
38,2026-07-20T09:30:00,31.95,1.0,1.68302,6.6203,0.16,168.8,0.26928,1.0593,0.28415,1.164,0,21.5,23.5,0,23.5,0.625,770.0,23.5,23.5,23.5,23.5,23.5,-0.625,-0.625,-0.625,-0.625,-0.625,770.0,770.0,770.0,770.0,770.0,baseline,
